Gender,Age,Country,Origin,Job,Jobtype,WorkHours,Transport,CommuteDist,Income,Bikeown,Car,Bikelease,Bikeshare,Sharing01,Sharing02,Sharing03,Sharing04,Sharing05,Sharing06,SharingLocPref,DepotDist,DepotInStation,Neuroticism01,Neuroticism02,Neuroticism03,Openness01,Openness02,Openness03,Openness04,Neighbourhood01,Neighbourhood02
1,23,1,1,1,1,30,1,1,0,2,1,1,1,2,6,6,6,4,4,3,1,2,3,4,2,3,3,4,3,5,4
2,23,1,1,1,1,30,1,2,0,2,1,1,2,2,7,3,4,2,6,2,1,2,1,3,3,3,4,4,5,3,2
1,18,1,4,1,1,30,1,3,20,2,1,1,2,3,6,4,5,6,2,3,4,1,1,5,5,4,4,5,3,2,3
2,23,5,5,1,1,30,1,2,20,2,1,1,1,2,6,3,3,3,6,3,6,1,1,4,4,4,4,5,2,3,4
1,23,1,5,1,1,28,1,3,0,1,1,2,1,3,7,7,6,7,2,3,2.3,1,2,4,4,4,5,5,2,1,2
1,24,1,1,1,1,20,1,2,5,2,1,1,2,1,5,2,2,5,6,2,2,2,1,5,5,4,4,4,1,4,3
2,19,1,3,1,1,20,1,2,10,2,1,1,1,4,6,4,4,4,6,3,23,2,4,2,2,3,4,5,4,1,4
1,22,6,5,1,1,20,1,3,10,2,1,1,2,1,7,2,2,6,3,3,100,1,1,4,5,4,5,4,2,2,5
1,23,1,1,1,1,5,1,2,0,2,1,2,2,2,6,2,6,5,6,3,1,2,1,5,4,4,4,5,3,3,3
2,24,1,10,1,1,3,1,2,0,2,1,1,1,2,2,2,2,5,2,1,5,1,1,3,4,3,5,3,3,3,4
2,28,2,2,1,1,40,2,3,30,2,2,1,1,3,6,4,5,5,4,3,1,1,1,3,5,4,3,5,5,5,5
1,23,1,6,1,1,40,2,2,15,2,2,1,2,3,7,2,7,3,3,3,1,1,4,4,2,4,4,4,2,2,2
2,20,5,5,2,1,33,3,4,0,2,1,1,2,5,6,5,3,4,2,3,5,2,1,3,3,4,2,5,5,2,4
2,29,1,4,1,1,32,3,4,0,2,1,1,2,4,7,7,7,7,7,3,1,2,3,4,4,4,3,3,2,4,2
2,25,1,6,1,1,30,3,3,0,1,1,2,2,7,6,6,6,6,6,2,2,1,3,3,3,3,3,3,3,4,2
2,21,5,5,1,1,27,3,2,0,1,1,1,1,3,5,2,2,6,3,1,0.1,1,3,1,1,3,3,4,2,4,2
2,22,5,5,1,1,25,3,3,5,2,1,1,1,2,4,4,4,4,4,1,5,2,3,2,2,4,4,4,5,3,4
1,25,8,14,1,1,18,3,3,10,1,1,1,1,2,5,4,4,4,4,3,2,1,3,5,5,4,4,3,4,2,5
2,25,5,5,1,1,15,3,3,5,1,1,1,1,1,5,5,5,1,3,1,2,1,2,5,3,4,4,5,4,4,3
1,23,5,5,1,1,12,3,3,5,2,1,2,1,1,7,2,4,6,3,3,2,1,5,2,1,4,4,4,2,4,5
1,23,5,5,1,1,10,3,4,0,2,2,1,2,6,7,2,5,5,7,1,60,2,2,3,3,4,4,5,4,3,4
2,25,1,8,1,1,9,3,2,10,2,1,2,1,4,7,2,3,5,6,3,2,2,2,2,3,3,3,4,1,3,4
1,23,7,5,1,1,8,3,3,15,1,1,2,1,4,6,3,5,4,5,1,2,1,4,2,2,4,5,5,2,5,5
1,23,5,5,1,1,24,4,1,60,2,1,1,2,2,7,1,1,4,6,3,0.3,2,1,4,3,4,3,5,4,3,3
1,23,6,5,1,1,20,4,1,0,1,1,1,1,3,5,3,4,4,4,3,2,1,4,2,2,3,2,2,4,4,3
1,23,5,5,2,1,20,4,1,5,2,1,2,2,3,6,6,6,4,5,3,1,1,3,2,2,4,3,5,2,2,4
1,24,5,5,1,1,20,4,1,0,1,1,1,1,1,7,4,5,6,3,3,0,2,4,2,4,4,4,4,4,4,4
2,20,1,7,1,1,20,4,2,5,1,1,1,1,2,6,3,3,4,4,3,3,2,4,3,4,4,2,5,4,2,2
2,22,9,15,1,1,20,4,2,5,1,1,1,2,6,4,5,5,6,6,1,7,1,2,3,3,4,4,5,1,2,5
2,23,1,11,1,1,12,4,1,0,2,1,2,2,1,6,4,4,2,1,1,5,1,1,3,4,5,3,5,1,4,4
2,26,1,1,2,2,50,1,3,15,2,1,1,2,2,6,2,3,2,4,2,3,1,1,5,5,4,4,5,4,3,3
2,19,1,7,2,2,40,1,2,0,2,1,1,1,3,6,4,4,4,3,3,0,1,2,1,1,4,1,2,4,4,5
2,21,1,1,2,2,35,1,2,5,2,1,1,2,6,7,2,2,2,2,3,2,2,1,5,4,4,4,5,2,2,2
1,21,1,1,2,2,20,1,2,5,2,1,1,2,1,7,6,6,2,5,2,2,2,1,4,4,4,3,4,5,1,3
1,22,5,5,2,2,38,2,2,5,2,2,1,1,1,5,1,1,6,1,1,4,1,1,5,5,5,5,5,3,5,5
2,23,10,8,2,2,48,3,4,5,2,2,1,2,4,7,4,4,5,4,3,40,1,3,4,4,5,4,5,3,3,4
2,24,5,5,2,2,45,3,2,0,1,1,1,2,4,7,4,6,2,6,1,0.5,1,4,4,5,5,3,5,2,2,4
2,21,5,5,2,2,40,3,3,10,1,1,1,1,7,7,6,6,6,7,2,5,2,3,4,4,5,4,5,2,3,1
1,23,1,1,2,2,35,3,1,5,2,1,1,1,2,5,1,4,1,5,2,15,2,4,3,4,4,3,5,3,4,4
2,26,1,1,1,3,48,3,4,0,2,1,1,2,2,6,5,5,1,1,3,3,1,1,4,4,4,4,4,3,3,3
2,23,1,1,1,3,40,3,4,5,2,1,1,2,1,6,6,6,5,3,3,3,1,3,2,2,3,4,4,2,4,4
1,23,1,1,1,3,40,3,4,10,2,1,1,2,2,7,6,5,4,3,3,1,2,1,4,4,5,4,4,2,4,4
1,22,2,2,2,3,40,4,2,20,2,1,1,2,2,6,1,4,4,4,3,3,1,4,2,2,4,3,5,4,1,2
2,29,2,2,2,4,60,1,3,35,2,2,1,1,1,6,2,2,6,4,2,2,1,3,4,2,4,4,4,4,4,2
2,58,2,2,2,4,55,1,2,55,2,2,1,1,1,6,1,4,6,6,3,0.5,1,1,4,4,3,3,4,2,4,1
2,25,1,1,2,4,40,1,1,25,2,1,1,2,4,6,4,6,2,5,3,3,2,1,3,4,4,4,4,1,3,2
2,26,1,1,2,4,40,1,3,20,2,1,1,2,2,7,2,5,5,3,3,2,2,2,4,4,4,5,5,1,2,2
2,54,2,2,2,4,40,1,3,35,2,1,1,1,2,5,4,4,4,2,1,0,1,2,3,2,4,2,4,4,3,4
2,48,2,4,2,4,40,1,1,25,2,2,1,1,4,6,4,4,4,2,1,0.01,2,3,3,3,3,3,3,3,5,5
2,37,1,5,2,4,5,1,3,25,2,1,1,2,2,7,5,6,4,6,3,1,2,3,2,2,5,5,5,1,4,2
1,63,1,1,2,4,60,2,2,60,2,2,1,1,4,4,4,4,3,4,1,6,2,3,4,3,4,4,4,2,4,3
2,59,2,2,2,4,60,2,3,55,2,2,1,1,2,2,2,2,2,2,1,5,1,1,4,4,2,3,3,3,4,5
1,30,4,4,2,4,55,2,3,35,2,2,1,1,1,6,1,3,7,7,3,10,1,1,2,2,3,1,4,1,2,5
1,56,1,1,2,4,50,2,4,60,2,2,1,1,6,2,3,2,6,6,1,20,1,1,3,4,4,2,1,2,4,5
2,30,4,4,2,4,46,2,3,30,2,2,1,1,6,7,1,1,7,4,3,10,1,1,2,3,2,2,1,3,2,5
1,31,2,2,2,4,45,2,4,40,2,2,1,1,2,3,1,1,1,4,3,5,2,3,3,3,3,3,4,4,3,5
1,58,1,1,2,4,40,2,4,60,2,2,1,1,2,6,1,2,3,3,2,12,1,1,4,4,3,3,4,3,4,3
2,21,1,1,2,4,40,2,4,30,2,2,1,2,2,7,1,1,4,5,3,2,1,5,4,4,4,2,4,1,3,2
2,56,2,2,2,4,40,2,2,30,1,2,1,1,3,6,6,6,6,4,3,2,1,2,4,4,4,3,3,4,5,5
1,36,1,4,2,4,40,2,4,50,2,2,1,2,1,6,1,4,4,6,3,2,2,4,4,4,2,4,5,2,3,2
2,41,5,5,2,4,40,2,2,15,2,2,1,1,5,7,2,5,7,3,3,60,1,4,2,4,4,4,5,1,4,4
1,30,1,9,2,4,40,2,4,40,2,2,2,2,5,7,7,5,4,4,3,1,1,1,3,4,5,4,5,1,5,4
1,57,1,1,2,4,12,2,4,55,2,2,1,1,2,6,4,5,6,6,3,15,1,1,4,4,4,4,4,2,3,4
1,24,2,2,2,4,50,3,2,45,1,2,1,1,2,6,2,2,5,2,1,2,1,1,4,4,3,4,3,1,3,4
2,50,2,2,2,4,50,3,2,40,2,2,1,1,4,4,3,3,4,4,3,1,1,3,2,3,4,3,4,2,4,4
2,67,2,2,2,4,45,3,4,35,1,2,1,1,2,2,2,2,3,2,1,10,1,1,4,4,1,1,1,1,4,5
2,53,2,2,2,4,45,3,3,45,2,2,1,1,4,6,4,4,6,4,1,1,1,2,3,4,3,4,4,2,4,4
2,34,2,13,2,4,45,3,4,45,1,2,1,1,3,5,1,1,4,4,1,15,1,1,4,4,4,4,5,4,1,2
1,31,1,1,2,4,40,3,3,60,2,1,1,2,1,6,1,6,2,6,3,1,1,1,5,5,4,4,5,3,4,4
1,24,2,2,2,4,40,3,4,35,2,1,1,1,2,4,2,2,4,3,3,0,1,2,4,4,4,4,4,2,4,4
2,29,1,4,2,4,40,3,4,35,2,1,1,2,5,6,5,4,4,3,3,15,2,4,2,1,4,4,5,2,2,5
1,21,5,5,2,4,40,3,4,10,1,2,1,1,3,6,4,4,6,4,1,60,2,1,2,2,5,5,5,1,2,4
2,27,2,2,2,4,37.5,3,4,45,2,1,1,1,2,5,3,2,2,5,1,3,2,1,4,4,4,3,4,4,5,5
1,23,2,2,2,4,35,3,4,35,2,1,1,2,2,6,1,4,4,5,1,3,1,1,5,5,5,3,5,1,2,5
2,52,2,2,2,4,50,4,1,40,2,2,1,1,3,6,2,5,5,2,3,1,2,2,3,4,3,3,4,4,5,4
2,60,2,2,2,4,45,4,2,35,2,2,1,1,2,6,2,2,4,4,3,100,1,1,5,5,4,5,5,5,5,5
1,28,2,2,2,4,45,4,2,55,2,2,2,1,1,5,1,1,4,4,3,5,1,1,2,4,3,5,5,4,5,5
2,38,2,12,2,4,45,4,2,25,2,1,1,2,6,6,6,6,6,3,1,0.5,1,2,4,4,4,4,5,2,3,4
1,24,1,1,2,4,40,4,1,25,2,1,1,2,2,6,5,5,5,3,3,2,2,3,4,5,4,5,4,3,4,4
2,58,1,1,2,5,24,1,2,25,2,1,1,1,4,4,4,4,4,4,1,5,2,1,1,5,3,3,5,2,1,1
2,53,1,1,2,5,20,1,1,25,2,2,1,1,1,1,1,1,4,4,1,0,1,1,5,5,5,4,5,3,5,5
2,57,1,1,2,5,10,1,1,15,2,2,1,1,3,6,4,4,4,5,3,12,1,1,4,5,4,4,5,2,4,5
2,37,2,2,2,5,27,2,3,20,1,2,1,1,5,5,1,1,5,5,3,1,1,3,3,2,5,3,3,2,4,5
2,58,2,2,2,5,20,2,4,15,1,2,1,1,4,4,1,1,4,4,1,60,1,2,3,2,4,4,5,1,4,5
1,67,2,2,2,5,20,2,4,60,2,2,1,1,4,4,1,1,1,4,3,1,1,4,4,4,5,5,5,1,5,5
2,55,1,1,2,5,16,2,2,0,2,2,1,2,4,6,2,2,4,4,3,10,1,3,3,3,4,2,3,3,3,4
2,40,2,2,2,5,30,3,3,30,1,2,1,1,3,2,2,2,2,2,2,7,1,1,4,4,4,3,4,4,2,2
2,60,2,2,2,5,28,3,3,60,1,2,1,1,4,4,1,1,4,4,3,3,1,1,4,3,3,4,4,4,4,5
2,60,2,2,2,5,22,3,2,15,2,2,1,1,4,4,4,2,3,3,1,2,1,3,4,5,4,4,4,4,4,5
1,54,1,1,2,5,24,4,1,60,2,2,1,1,1,7,1,2,5,1,1,13,1,1,3,5,3,1,4,2,5,3
2,46,2,2,2,5,24,4,1,25,2,2,1,1,2,6,1,4,2,2,1,2,1,1,5,5,3,1,5,1,5,5
1,41,2,2,2,5,24,4,2,20,1,2,1,1,4,4,4,4,4,4,2,0,1,1,4,5,4,4,4,4,4,4
2,55,2,2,2,5,16,4,2,20,1,2,1,1,3,5,1,1,5,4,1,1,1,1,4,3,2,2,4,2,5,4
1,31,1,1,1,6,8,1,2,5,2,1,1,1,1,7,7,7,7,7,1,1,2,1,5,5,5,4,5,1,3,2
1,25,12,16,1,6,0,3,1,0,2,1,1,1,1,1,1,1,1,1,3,0,1,3,3,5,4,4,5,3,4,5
2,33,2,2,2,7,37,1,3,35,2,2,1,1,3,6,3,3,4,4,1,1,1,1,4,4,4,4,5,4,2,5
1,33,2,12,2,7,40,4,1,35,1,2,1,1,1,4,2,2,4,2,1,2,2,1,5,5,4,4,5,2,1,4
